title, description, link, author, guid
Android user interface testing with Espresso - Tutorial, This tutorial describes how to test Android     applications with     the     Android Espresso testing framework., http://www.vogella.com/tutorials/AndroidTestingEspresso/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidTestingEspresso/article.html
Using the Gradle build system in the Eclipse IDE - Tutorial, This article describes how to use the Gradle tooling in Eclipse, http://www.vogella.com/tutorials/EclipseGradle/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/EclipseGradle/article.html
Unit tests with Mockito - Tutorial, This tutorial explains testing with the Mockito framework for writting software tests., http://www.vogella.com/tutorials/Mockito/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/Mockito/article.html
SWT - Tutorial, This tutorial describes SWT the user interface toolkit used by     the Eclipse IDE.     This article was written using Eclipse 4.5 (Mars)., http://www.vogella.com/tutorials/SWT/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/SWT/article.html
Unit tests with Mockito - Tutorial, This tutorial explains testing with the Mockito framework for writting software tests., http://www.vogella.com/tutorials/Mockito/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/Mockito/article.html
Unit Testing with JUnit - Tutorial, This tutorial explains unit testing with JUnit     4.x. It explains     the creation of JUnit tests. It also covers the     usage of the Eclipse IDE for developing software tests., http://www.vogella.com/tutorials/JUnit/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/JUnit/article.html
Unit Testing with JUnit - Tutorial, This tutorial explains unit testing with JUnit     4.x. It explains     the creation of JUnit tests. It also covers the     usage of the Eclipse IDE for developing software tests., http://www.vogella.com/tutorials/JUnit/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/JUnit/article.html
Gerrit code review - Tutorial, This tutorial explains the usage of the Gerrit code review     system. It describes the setup of Eclipse (with EGit) as well as the     command line setup. Contributing to an Eclipse.org project via Gerrit is also described., http://www.vogella.com/tutorials/Gerrit/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/Gerrit/article.html
Android application and activity life cycle - Tutorial, This tutorial describes how the Android application and     activity life cycle works., http://www.vogella.com/tutorials/AndroidLifeCycle/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidLifeCycle/article.html
Git version control with Eclipse (EGit) - Tutorial, This tutorial describes the usage of EGit; an Eclipse plug-in     to     use the distributed version control system Git.     This tutorial is     based on     Eclipse 4.5 (Mars)., http://www.vogella.com/tutorials/EclipseGit/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/EclipseGit/article.html
Android application (performance and more) analysis tools - Tutorial, This tutorial describes the available tools in Android to     perform a performance analysis of Android     applications., http://www.vogella.com/tutorials/AndroidTools/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidTools/article.html
Android background processing with Handlers, AsyncTask and
			Loaders - Tutorial, This tutorial describes the usage of asynchronous processing in Android applications.     It also covers how to     handle the     application life cycle together with threads. It is     based on Android Studio., http://www.vogella.com/tutorials/AndroidBackgroundProcessing/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidBackgroundProcessing/article.html
Using lists and grids in Android with RecylerView - Tutorial, This tutorial describes how to use the RecylerView view together     with activities and fragments in     Android. The     tutorial     is     based on Android 5.0., http://www.vogella.com/tutorials/AndroidRecyclerView/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidRecyclerView/article.html
Debugging Android applications - Tutorial, This tutorial describes how to debug Android applications., http://www.vogella.com/tutorials/AndroidDebugging/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidDebugging/article.html
Using the Android Toolbar (ActionBar) - Tutorial, This tutorial describes how to use the toolbar widget in your     Android     application.     It is based on     Android     6.0., http://www.vogella.com/tutorials/AndroidActionBar/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/AndroidActionBar/article.html
Register for the Eclipse 4 application life cycle - Tutorial, This tutorial describes how to use an life cycle handler for     Eclipse RCP     application., http://www.vogella.com/tutorials/Eclipse4LifeCycle/article.html, lars.vogel@vogella.com (Lars Vogel), http://www.vogella.com/tutorials/Eclipse4LifeCycle/article.html
Migrating Eclipse 3.x plug-ins and RCP applications to Eclipse
